Código Promax;Material
90000104; AG CERVEJA LITRÃO INTEGRAL 
90000119; AG LITRINHO CX 23 INTEGRAL 
90000101; AG SKOL 1/1 
101489; BARRIL CHOPP 30L 
101490; BARRIL CHOPP 50L 
23672;CERVEJELA PL BRAHMA 1UN P/ GFA 600ML C/3
35108;CERVEJELA PL SPATEN 1UN P/ GFA 600ML C/3
37108; CHAPATEX COMP1X1 2X003 
188006; GARRAFA 1L RETORN 
198214; GARRAFA 330ML 
786238; GARRAFA VERDE SPATEN 600ML RET 
25546; GARRAFEIRA PL. AL. LAT. AB. PRETA BEES 1 UN P/ 23 
188005; GARRAFEIRA PLAS1L AMBEV 
103332; GARRAFEIRA PLAST 24 GFA 300ML ANTARCTICA 
198213; GARRAFEIRA PLAST 24 GFA 300ML AZUL 
899599; GARRAFEIRA PLAST PRETA 24 GARRAFAS 600ML 
296156; GARRAFEIRA PLAST23 GFA 300MLAZUL 
138165; GARRAFEIRA PLAST24 GFA 600ML ANTARCTICA AZUL 
29043; GFA PC 1L VIDRO 
235894; GFA VIDRO 1L GCA 1LRETORN. 
103322; GFA VIDRO 290ML GUARANA ANT 
27983; GFA VIDRO 635ML AMBAR TIPO A RETORN. 
90000601; KIT AG SPATEN + STELLA 600 
42069; PBR ( 2 ) 05X1 25 
104195; PLT PBR ( 1 )1X1 2 
33962;38 CONHAQUE DE ALCATRÃO GFA VD 900ML C/6
25174;51 ICE BALADA GFA VD 275 ML C/24
25178;51 ICE LIMÃO GFA VD 275 ML C/24
25176;51 ICEFRUIT MIX GFA VD 275 ML C/24
21529;ABSOLUT ORIGINAL GFA VD 1L
24605;ACQUA PANNA S/G GFA VD 250ML C/24
24613;ACQUA PANNA S/G GFA VD 505ML C/24
2538;ANTARCTICA PILSEN 600ML
1743;ANTARCTICA PILSEN GFA VD 1L C/TTC
9067;ANTARCTICA PILSEN LATA 350ML SH C/12 NPA
2008;ANTARCTICA SUBZERO LT 350ML SH C/12 NPAL
21788;BALLANTINES FINEST GFA VD 1L 
35617;BEATS GREEN MIX LT 269 ML SH C/8
33738;BEATS RED MIX LN 269ML SIX PACK SH C/12
33737;BEATS RED MIX LN 269ML SIX PACK SH C/4
33734;BEATS RED MIX LT 269 ML SH C/8
32631;BEATS TROPICAL LN 269ML SIX PACK SH C/4
32349;BEATS TROPICAL LT 269ML CX CARTAO C/8 NP
25160;BLACK WHITE WHISKY GFA VD 1L
16503;BOHEMIA GFA VD 300ML CX C/23
10537;BOHEMIA GFA VD 990ML
19266;BOHEMIA LT 269ML SH C/15
17266;BOHEMIA LT473ML PACK SHRINK C/12
13194;BRAHMA CHOPP ONE WAY 300ML CX C/23
988;BRAHMA CHOPP 600ML
1695;BRAHMA CHOPP GFA VD 1L COM TTC
13201;BRAHMA CHOPP GFA VD 300ML CX C/23
9069;BRAHMA CHOPP LATA 350ML SH C/12 NPAL
11108;BRAHMA CHOPP LATA 550ML SHRINK C/12
1898;BRAHMA CHOPP LT 269ML SH C/15 NPAL
9320;BRAHMA CHOPP LT 473ML SH C/12 NPAL
20150;BRAHMA CHOPP LT 473ML SH C/12 NPAL MULTI
12951;BRAHMA CHOPP ZERO LN 355 SIXP CX CART C4
12948;BRAHMA CHOPP ZERO LATA 350 SH CX C12 NPA
20329;BRAHMA DUPLO MALTE 600ML
20533;BRAHMA DUPLO MALTE GFA VD 1L
20498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C12
20647;BRAHMA DUPLO MALTE LT 269ML SH C15 NPAL
32648;BUBBALOO MORANGO DISPLAY 5G C/60
2548;BUDWEISER 600ML
35331;BUDWEISER GFA VD 1L
31064;BUDWEISER LATA 269ML SHRINK C/15
13839;BUDWEISER LATA 269ML CX C/8 FRIDGE PACK
21020;BUDWEISER LATA 350ML SLEEK CX CART C/12
14135;BUDWEISER LT 473ML SIX-PACK SH C/2 NPAL
22177;BUDWEISER ZERO LT SLEEK 350ML C8 CX CART
22180;BUDWEISER ZERO LN 330ML SIX-PACK SH C/4
17808;BUDWEISER OW 330ML CX C 24
10539;BUDWEISER LATA 350ML SH C/12 NPAL
11371;BUDWEISER LN343ML SIX PACK CARTAO SH C/4
25198;CACHAÇA 51 LATA 473ML C/12
25194;CACHAÇA 51 LATA 350ML C/12
25220;CACHAÇA 51 PIRAS OURO GFA VD 965ML
27613;CASILL DEL DIABLO VINOH RSRV CBSBG GF VD 750ML
27635;CASILL DEL DIABLO VINOH RSRV CRMN GF VD 750ML
32547;CHAC CHAC VINHO BRANCO GFA VD 750ML
32549;CHAC CHAC VINHO T MALBEC GFA VD 750ML
22009;CHICLETE ADAMS HORTELÃ 2,8G CX C/100
21955;CHIVAS REGAL WHISKY 12 ANOS GFA VD 1L
838;CHOPP BRAHMA CLARO BARRIL KEG 50L
828;CHOPP BRAHMA CLARO BARRIL KEG 30L
8037;CHOPP CLARO STELLA ARTOIS BARRIL KEG 30L
24122;CHOPP SPATEN N BARRIL KEG 50L NPAL
19581;COLORADO APPIA LATA 410ML PACK 12
16665;COLORADO APPIA OW 300ML CX C 12 ARTE
14550;COLORADO APPIA OW 600ML CX C-12 ARTE
16663;COLORADO CAUIM OW 300ML  CX C 12 ARTE
14548;COLORADO CAUIM OW 600ML CX C-12 ARTE
14554;COLORADO DEMOISELLE OW 600ML CX C-12 ART
14552;COLORADO INDICA OW 600ML CX C-12 ARTE
19515;COLORADO LAGER LATA 410ML PACK 12
19166;COLORADO LAGER ONE WAY 600ML CX C-12 ART
27866;CORONA CERO SUNBREW LN 330ML SP BAS CX C4
34263;CORONA CERO SUN N LT 350ML C8 CX CART
31856;CORONA EXTRA N LT 473ML CX CART C/12
18836;CORONA EXTRA N  LN 330ML CX C/24 NPAL
20651;CORONA EXTRA N LT 350ML C8 CX 
13827;CORONA EXTRA LN 355ML SP C/4 - CX70 AUS
18836;CORONA EXTRA LN 355ML SP C/4 - CX70 AUS
18780;CORONITA EXTRA N OW 210ML CX C/4 SIXPA
15672;CORONITA EXTRA OW 210ML CX 4 SIX PACK
23562;DANTE ROBINO CABERNET SAUVIGNON GFA VD OW 750ML CX C/6
23560;DANTE ROBINO EXTRA BRUT GFA VD OW 750ML CX C/6
33216;DANTE ROBINO LEGADO MALBEC GFA VD 750ML CX C/6
30721;DANTE ROBINO LEGADO BLEND BLNC GFA VD 750ML
22562;DOMECQ COQUETEL COMPOSTO GFA VD 1L
34656;FLOPITO PIRULITO CHICLE CEREJA PCT PLAST 500G
34654;FLOPITO PIRULITO CORAÇÃO VERM PCT PLAST 500G
34405;FLORESTAL BALA BRAZIL COFFEE PCT PLAST 500G
34412;FLORESTAL BALA MASTIG MINT HORT PCT 500G
34413;FLORESTAL BALA MASTIG MOLE SORT PCT 500G
34416;FLORESTAL BALA MENTA PCT PLAST 500G 
34417;FLORESTAL BALINHA CORAÇÃO MORANGO PCT PLAST 500G
11084;FUSION LATA 250ML SIX-PACK
25700;FUSION PET 2L SHRINK C6
13486;FUSION PET 1L SHRINK C/6
7979;GATORADE FRUTAS CITR PET 500ML SIX PACK
7981;GATORADE LARANJA PET 500ML SIX PACK
7982;GATORADE LIMAO PET 500ML SIX PACK
7985;GATORADE MARACUJA PET 500ML SIX PACK
7983;GATORADE MORANGO MARACUJA PET500ML SIXPA
7980;GATORADE TANGERINA PET 500ML SIX PACK
7977;GATORADE UVA PET 500ML SIX PACK
32067;GATORADE BLUE BERRY PET 500ML SIX PACK
18142;GOOSE ISLAND MIDWAY NAC LN 355ML CX C/12
27001;GORDONS GIN DRY GFA VD 750ML
33220;GRAN DANTE NATURE GFA VD 750ML CX C/23
14844;GCA 269 COM 15
13610;GUARANA ANTARCTICA BLACK LT 350ML SH C12
34320;GUARANA ANT ZERO LATA 350ML SH C/12 MP
9795;GUARANA ANTARCTICA ZERO PET 1L CX C/12
2250;GUARANA CHP ANT DIET MIX BAG IN BOX 18L
2243;GUARANA CHP ANTAR MIX BAG IN BOX 18L
9085;GUARANA CHP ANTARCT DIET LT350ML SHC/12
9084;GUARANA CHP ANTARCT LT350ML SH C/12 NPAL
19321;GUARANA ANTARCTICA ZERO PET 200ML SH C12
2231;GUARANA CHP ANTARCTICA 290ML
34027;GUARANA CHP ANT LATA 350ML SH C12 MP
14844;GUARANA CHP ANTARCTICA LT 269ML SH C/15
2353;GUARANA CHP ANTARCTICA DIET PET 2L CXC/6
2585;GUARANA CHP ANTARCTICA GFA VD 1L
8411;GUARANA CHP ANTARCTICA PET 1,5L SH C/6
2319;GUARANA CHP ANTARCTICA PET 1L CAIXA C/12
7947;GUARANA CHP ANTARCTICA PET 2,5L CX C/6
19164;GUARANA CHP ANTARCTICA PET 1L PACK C/2
18152;GUARANA CHP ANTARCTICA PET 200ML SH C/12
2777;GUARANA CHP ANTARCTICA PET 237ML SH C/12
2349;GUARANA CHP ANTARCTICA PET 2L CAIXA C/6
8919;GUARANA CHP ANTARCTICA PET600ML CXC/12 N
8793;H2OH LIMAO C/GAS PET 1,5L CAIXA C/6
13065;H2OH LI.MONETO C/GAS PET 1,5L CAIXA C/6
8791;H2OH LIMAO C/GAS PET 500ML CAIXA C/12
13061;H2OH LIMONETO PET500 SH C/12 NP
22003;HALLS CEREJA 28G CX C/21
22007;HALLS EXTRA FORTE 28G CX C/21
29733;HALLS MELANCIA 28G CX C/21
22005;HALLS MENTA 28G CX C/21
27177;HALLS MENTOL 28G CX C/21
27179;HALLS MORANGO 28G CX C/21
34410;HALLS UVA VERDE 28G CX C/21
27038;HEINZ MOSTARDA SQUEEZE 255G
29301;INDAIA AGUA M S GAS COPO PL 200ML CX C/48
33233;INDAIA AGUA M C/GAS LATA 269ML CX C/12
33235;INDAIA AGUA M S/GAS LATA 269ML CX C/12
23546;INDAIA AGUA M C/GAS GF P 500ML PAC C/12
23552;INDAIA AGUA M S/GAS GF P 500ML PAC C/12
4359;INDAIA AGUA M C/GAS GF P 1,5L FD C/6
23548;INDAIA AGUA M C/GAS GF P 330ML FD C/12
4367;INDAIA AGUA M S/GAS GF P 1,5L FD C/6
23550;INDAIA AGUA M S/GAS GF P 330ML FD C/12
4345;INDAIA AGUA M S/GAS GF P 5L
29326;INDAIA BEB MISTA CITRUS LARANJA GFA PET 1,5L FD C/6
29323;INDAIA BEB MISTA CITRUS LARANJA GFA PET 330ML  FD C/12
32435;INDAIA BET MISTA CITRUS UVA GFA PET 1,5L FD C/6
32433;INDAIA BEB MISTA CITRUS UVA GFA PET 330ML  FD C/12
23029;JOHNNIE WALKER BLACK LABEL GFA VD 1L
21526;JOHNNIE WALKER RED LABEL GFA VD 1L
29518;JOHNNIE WALKER WHISKY BLONDE GFA VD 750ML
24168;MICHELOB ULTRA N LN 330ML SP SH C/4
4262;MICHELOB ULTRA N LT SLEEK 350ML C8
4247;MINALBA AGUA M C/GAS GFA PET 1,5L FD C/6
4254;MINALBA AGUA M C/GAS GFA PET 510ML FD C/12
4249;MINALBA AGUA M S/GAS GFA PET 1,5L FD C/6
4311;MINALBA AGUA M S/GAS GFA PET 510ML FD C/12
24604;MINALBA AGUA PREMIUM C/GAS GFA VD 300ML CX/12
24609;MINALBA AGUA PREMIUM S/GAS GFA VD 300ML CX/12
22106;MINI OREO 35G CX C/10
21786;MONTILLA CARTA BRANCA GFA VD 1L
33219;NOVECENTO BLEND DE BLANC GFA 750ML CX C/6
21898;NOVECENTO EXTRA BRUT OW X6 750CC
21900;NOVECENTO EXTRA DULCE OW X6 750CC
21892;NOVECENTO MALBEC OW X6 750CC
21894;NITO CABERNET OW X6 750CC
25151;OLD PARR WHISKY GFA VD 1L
29253;ORIGINAL GFA VD 1L
2546;ORIGINAL 600ML
19668;ORIGINAL LATA 350ML SH C/12 NPAL
26462;ORIGINAL LT 473ML CX CARTAO C/12
20217;ORIGINAL GFA VD 300ML CX C/23
14340;ORIGINAL ONE WAY 300ML CX PAPELAO C/12
8336;ORIGINAL ONE WAY 600ML CX 12
21887;ORLOFF DRY GFA VD 1L
21789;ORLOFF  GFA VD 1L
22382;PASSPORT SCOTCH BLENDED GRA VD 1L
4141;PATAGONIA AMB LAG NAC LT SLEEK 350ML C8 CARTAO
4143;PATAGONIA BOH PIL NAC LT SLEEK 350ML C8 CARTAO
4198;PATAGONIA IPA LT SLEEK 350ML C8 CARTAO
4193;PATAGONIA WEISSE N  LT SLEEK 350ML C8 CARTAO
18752;PATAGONIA WEISSE N OW  LT SLEEK 350ML C8 CARTAO
9096;PEPSI COLA LATA 350ML SH C/12 NPAL
772;PEPSI COLA MIX BAG IN BOX 18L
18266;PEPSI COLA PET  200ML SH C/12
8418;PEPSI COLA PET 1,5L  CX C/06
7325;PEPSI COLA PET 1L CAIXA C/12
7945;PEPSI COLA PET 2,5L CAIXA C/6
10032;PEPSI COLA PET 237ML SHRINK C/12
504;PEPSI COLA PET 2L CAIXA C/6
9093;PEPSI TWIST LATA 350ML SH C/12 NPAL
9442;PEPSI TWIST MIX BAG IN BOX  18L
4409;PEPSI TWIST PET 2L SHRINK C/6
29845;PEPSI ZERO PET 1L SH C/12
4293;PEPSI ZERO PET 200 ML SH C/12
9274;PEPSI ZERO LATA 350ML SH C/12 NPAL
15190;PEPSI ZERO MIX BAG IN BOX 18L
9276;PEPSI ZERO PET 2L CX C/6
24645;PERRIER CG GFA VD 330ML CX 24
32528;PETROPOLIS AGUA M C/GAS GFA PET 500ML FD C/12
32526;PETROPOLIS AGUA M S/GAS GFA PET 500ML FD C/12
24256;PETROPOLIS AGUA M S/GAS GFA PET 1,5L FD C/6
21791;PIRASSUNUNGA 51 GFA VD 965ML
34655;POP KISS PIRULITO CEREJA PCT PLAST 500G
32159;QUERO MOLHO DE ALHO FRASCO PLAST 150ML
27426;QUERO MOLHO TRADIC SACHA300G CX24
24411;QUINTA DO MORGADO VINHO BRANCO SECO GFA VD 750ML
24410;QUINTA DO MORGADO VINHO BRANCO SUAVE GFA VD 750ML
24408;QUINTA DO MORGADO VINHO TINTO SECO GFA VD 750ML
24409;QUINTA DO MORGADO VINHO TINTO SUAVE GFA VD 750ML
34429;RED BULL AMOR LT 250ML FOUR PACK
30045;RED BULL BR LATA 473ML CAIXA C/12
24306;RED BULL MELANCIA LATA 250ML FOUR PACK NPAL .
32969;RED BULL S MOR E PESSEGO LATA 250ML FOUR PACK NPAL .
34770;RED BULL SF POMELO LATA 250ML FOUR PACK 
21666;RED BULL TROP BR LATA 250ML FOUR PACK NPAL .
34420;RED BULL SUM MARAC E MELAO LATA 250ML FOUR PACK NPAL .
19225;RED BULL BR LATA 250ML CAIXA C/24
19228;RED BULL BR LATA 250ML FOUR PACK NPAL
19229;RED BULL BR LATA 250ML SIX PACK NPAL
19227;RED BULL BR LATA 355ML FOUR PACK .
19231;RED BULL SUGAR FREE BR LATA 250ML FOUR PACK NPAL .
32541;RENO VINHO TINTO GFA VD 750 ML
27784;RESERVADO VINHO CAB SAUVIGNON  GFA VD 750ML
27567;RESERVADO VINHO ROSE  GFA VD 750ML
27625;RESERVADO VINHO SAUVIGNON BLANC GFA VD 750ML
24603;SAN PELLEGRINO C/GAS GFA VD 250ML CX24
27296;SÃO BRAZ COQUETEL COMPOSTO GFA 300ML CX12
27218;SÃO BRAZ COQUETEL COMPOSTO GFA PL 1,5L
13205;SKOL 300ML CX C23
13196;SKOL OW 300ML CX C23
982;SKOL 600ML
20174;SKOL BEATS 150 BPM PET 100ML SHIRINK C/15
29485;SKOL BEATS CAIPIRINHA LN 269ML SIX PACK SH C/4
23269;SKOL BEATS GT LN 269ML SIX PACK SH C/4
21119;SKOL BEATS GT LT 269ML CX C/8
13566;SKOL BEATS SENSES LT 269ML CX C/8
23271;SKOL BEATS SENSES LN 269ML CX C/6
33212;SKOL BEATS SENSES PET 1L SH C/6
19813;SKOL BEATS GT LT 269ML SH C15 NPAL
5018;SKOL BEATS LN 330ML SIX PACK SH C/4
15130;SKOL BEATS SECR LN 313ML SIX PACK SH C/4
15132;SKOL BEATS SECR LT 269ML CX C/8 FRIDPACK
13566;SKOL BEATS SENSES LATA 269ML CX C/8 FRID
13572;SKOL BEATS SENSES LN 313ML 6 PACK SH C/4
14138;SKOL BEATS SENSES LT 473ML SP SH C/2 NPA
1388;SKOL GFA VD 1L 2,99
13205;SKOL GFA VD 300ML CX 23
34608;SKOL LT 350ML SH C/12 MULTIPACK
20164;SKOL LT 473ML SH C/12 MULTIPACK
9083;SKOL LT 473ML SH C/12 NPAL
9068;SKOL LATA 350ML SH C/12 NPAL
13386;SKOL LATA 350ML SH C/12 NPAL PREC 1
9259;SKOL LATA 350ML SH C/18 NPAL
17678;SKOL LATA 350ML SH C/18 NPAL MULTPACK
11110;SKOL LATA 550ML SHRINK C/12
18267;SODA LIMONADA ANTAR PET 200ML SH C/12
9087;SODA LIMONADA ANTAR LT350ML SH C/12 NPAL
2248;SODA LIMONADA ANTAR MIX BAG IN BOX 18L
2655;SODA LIMONADA ANTARCT PET 237ML SH C/12
18267;SODA LIMONADA ANTARCT PET 237ML SH C/12
2320;SODA LIMONADA ANTARCTICA PET 1L CX C/12
2350;SODA LIMONADA ANTARCTICA PET 2L CX C/6
25837;SPATEN LT 473ML CX CART C/12
23186;SPATEN N 600ML
21632;SPATEN N LN 355ML SIX PACK CX C/04
21658;SPATEN N LT SLEEK 350ML CX C/12 CART
21668;SPATEN N ONE WAY 600ML CX C/12 NP ARTE
32500;STELLA ARTOIS PURE GOLD LT SLEEK 350ML CX C/8 CART
20530;STELLA ARTOIS 600ML
18807;STELLA ARTOIS LN 330ML SIX PACK CX C/04
19729;STELLA ARTOIS LT SLEEK 350ML CX C/8 CART
20535;STELLA ARTOIS OW 600ML CX C/12
29580;STELLA ARTOIS PURE GOLD LN 330ML SIX PACK C/4
8153;STELLA ARTOIS LN 275ML SIX PACK CX C/04
1699;STELLA ARTOIS LT269ML CX C/8 FRIDGE PACK
15134;STELLA ARTOIS OW 550ML CX C/ 12
9089;SUKITA LATA 350ML SH C/12 NPAL
7431;SUKITA MIX BAG IN BOX 18L
347;SUKITA PET 1L CAIXA C/12
18268;SUKITA PET 200ML SH C/12
10028;SUKITA PET 237ML SHRINK C/12
503;SUKITA PET 2L CAIXA C/6
21441;SUKITA LIMÃO PET 2L CAIXA C/6
1164;SUKITA UVA LATA 350ML SH C/12 NPAL
10030;SUKITA UVA PET 237ML SHRINK C/12
1166;SUKITA UVA PET 2L CAIXA C/6
29215;TANG REFRESCO EM PO UVA PCT 18G DP C/18
29201;TANG REFRESCO EM PO ABACAXI PCT 18G DP C/18
29199;TANG REFRESCO EM PO LARANJA PCT 18G DP C/18
29197;TANG REFRESCO EM PO LIMAO PCT 18G DP C/18
29209;TANG REFRESCO EM PO MARACUJA PCT 18G DP C/18
29207;TANG REFRESCO EM PO MORANGO PCT 18G DP C/18
21527;TANQUERAY LONDON DRY GFA VD 750ML
22202;TONICA ANTARCTICA ZERO PET 1L SH C/6
9092;TONICA ANTARCTICA DIET LT350MLSHC/12 PAL
9091;TONICA ANTARCTICA LT 350ML SH C/12 NPAL
34296;TRIDENT CANELA ENVELOPE 8G CX C/21
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21
21973;TRIDENT MELANCIA ENVELOPE 8G CX C/21
21970;TRIDENT MENTA ENVELOPE 8G CX C/21
34298;TRIDENT MORANGO ENVELOPE 8G CX C/21
21974;TRIDENT TUTTI-FRUIT ENVELOPE 8G CX C/21
35003;TRIDENT XFRESH 5S PRETO CEREJA ENVELOPE 8G CX C/21
21792;WHITE HORSE GFA VD 1L
